date	res	n	range
19981109
19981109
	0.5	1.04721514767566	0.00587911210851959
	1	1.19236508060007	0.023232677490731
	2	1.78362537478457	0.0828319872290536
	5	6.38184722919513	0.28912127802445
	10	21.2917724354188	0.480555212978767
20010910
20010910
	0.5	1	0
	1	1	0
	2	1.39238743142798	0.0257123001447522
	5	4.67188936929518	0.161216216774522
	10	16.5735258314262	0.359942785255034
20021012
20021012
	0.5	1.00652282990467	0.000927440957793686
	1	1.02615812792079	0.00354734386790569
	2	1.10349607317232	0.0142473171018447
	5	1.72816564130519	0.0904868730831234
	10	3.97521244080207	0.25404247695015
20061206
20061206
	0.5	1.1136599675283	0.00214250620969843
	1	1.19831898645382	0.00622705330636881
	2	1.51190771484602	0.0329572390813337
	5	6.64052432167705	0.284343452608683
	10	25.3332991858259	0.553170399054516
20080309
20080309
	0.5	4.19567363053134	0.0010382986215191
	1	4.27550279821394	0.00420902362694413
	2	4.98788340625905	0.0302250548047266
	5	15.5624981891129	0.272563792380992
	10	59.8606829818339	0.576140184392735
20080906
20080906
	0.5	1.01267422753363	0.00261136490905501
	1	1.05258897791857	0.010782995810039
	2	1.38670318328356	0.0643091731329225
	5	5.66992645568521	0.367920224985957
	10	21.5471450709262	0.649223432292015
20100426
20100426
	0.5	1.03108886792031	0.000587973345139794
	1	1.38262968951048	0.0116087990237945
	2	3.83072312300116	0.0754290981569827
	5	21.5994685798517	0.246394306102894
	10	82.6864793674095	0.418627431630775
20121011
20121011
	0.5	1.06754971164727	0.00234136978983692
	1	1.61420892413226	0.0259038405868436
	2	5.36296638811009	0.125108844692094
	5	30.9616262973637	0.295344562947674
	10	115.44798036908	0.444185363094451
20130308
20130308
	0.5	1.00164485760438	2.94083909680923e-05
	1	1.03060329245674	0.00074664992608805
	2	1.35314447826958	0.012980194272653
	5	5.85036695049979	0.129690707907936
	10	21.5052033301313	0.283402916429281
